Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	P_DCH	
6.44	0.020801207	0.020357581	0.026207184	0.012655616	0.01773444	0.00016773236	0.024960866	
6.45	0.020737951	0.020296455	0.026147227	0.012603635	0.017707872	0.00016747671	0.024898908	
6.46	0.020674969	0.020235589	0.026087532	0.012551912	0.017681384	0.00016722184	0.024837218	
6.47	0.020612258	0.020174983	0.026028097	0.012500445	0.017654975	0.00016696775	0.024775794	
6.48	0.020549819	0.020114635	0.025968922	0.012449232	0.017628645	0.00016671442	0.024714636	
6.49	0.020487649	0.020054543	0.025910005	0.012398272	0.017602394	0.00016646187	0.024653742	
6.5	0.020425746	0.019994707	0.025851344	0.012347564	0.017576221	0.00016621007	0.024593109	
6.51	0.02036411	0.019935124	0.025792938	0.012297106	0.017550125	0.00016595904	0.024532738	
6.52	0.020302739	0.019875794	0.025734786	0.012246896	0.017524107	0.00016570877	0.024472627	
6.53	0.020241632	0.019816716	0.025676886	0.012196933	0.017498166	0.00016545925	0.024412773	
6.54	0.020180786	0.019757887	0.025619238	0.012147216	0.017472301	0.00016521048	0.024353176	
6.55	0.020120202	0.019699307	0.025561839	0.012097743	0.017446513	0.00016496245	0.024293835	
6.56	0.020059876	0.019640975	0.025504688	0.012048513	0.017420802	0.00016471517	0.024234747	
6.57	0.019999809	0.019582888	0.025447785	0.011999525	0.017395166	0.00016446863	0.024175912	
6.58	0.019939998	0.019525046	0.025391127	0.011950776	0.017369605	0.00016422283	0.024117329	
6.59	0.019880442	0.019467447	0.025334714	0.011902265	0.017344119	0.00016397776	0.024058995	
6.6	0.01982114	0.019410091	0.025278544	0.011853992	0.017318708	0.00016373342	0.02400091	
6.61	0.01976209	0.019352975	0.025222616	0.011805954	0.017293372	0.00016348981	0.023943072	
6.62	0.019703292	0.019296099	0.025166929	0.011758151	0.017268109	0.00016324692	0.02388548	
6.63	0.019644743	0.019239461	0.025111481	0.011710581	0.01724292	0.00016300475	0.023828133	
6.64	0.019586442	0.019183061	0.025056271	0.011663242	0.017217805	0.0001627633	0.023771029	
6.65	0.019528389	0.019126896	0.025001298	0.011616134	0.017192763	0.00016252257	0.023714167	
6.66	0.019470581	0.019070965	0.024946561	0.011569254	0.017167794	0.00016228254	0.023657546	
6.67	0.019413018	0.019015268	0.024892059	0.011522603	0.017142897	0.00016204322	0.023601164	
6.68	0.019355698	0.018959804	0.024837789	0.011476177	0.017118072	0.00016180461	0.02354502	
6.69	0.01929862	0.01890457	0.024783752	0.011429976	0.017093319	0.0001615667	0.023489114	
6.7	0.019241782	0.018849565	0.024729945	0.011383999	0.017068638	0.00016132949	0.023433442	
6.71	0.019185184	0.01879479	0.024676368	0.011338245	0.017044027	0.00016109297	0.023378006	
6.72	0.019128823	0.018740241	0.02462302	0.011292711	0.017019488	0.00016085715	0.023322802	
6.73	0.0190727	0.018685919	0.024569898	0.011247397	0.016995019	0.00016062201	0.02326783	
6.74	0.019016812	0.018631821	0.024517003	0.011202302	0.016970621	0.00016038756	0.023213089	
6.75	0.018961158	0.018577948	0.024464332	0.011157424	0.016946293	0.0001601538	0.023158577	
6.76	0.018905737	0.018524297	0.024411886	0.011112761	0.016922034	0.00015992071	0.023104294	
